YEAR,OVERALL PICK,NBA TEAM,PLAYER NAME,COLLEGE TEAM,CITY,STATE,CONFERENENCE
2006,4,POR,Tyrus Thomas,Louisiana State,Baton Rouge,LA,Southeastern Conference
2006,5,ATL,Shelden Williams,Duke,Durham,NC,Atlantic Coast Conference
2006,6,MIN,Brandon Roy,Washington,Seattle,WA,Pacific-12 Conference
2006,7,BOS,Randy Foye,Villanova,Villanova,PA,Big East Conference
2006,8,MEM,Rudy Gay,UCONN,Mansfield,CT,Big East Conference
2006,9,GSW,Patrick O'Bryant,Bradley,Peoria,IL,Missouri Valley Conference
2006,10,SEA,Mouhamed Sene,Did not Attend College in U.S.,N/A,N/A,N/A
2006,11,ORL,J.J. Redick,Duke,Durham,NC,Atlantic Coast Conference
2006,12,NOH,Hilton Armstrong,UCONN,Mansfield,CT,Big East Conference
2006,13,PHI,Thabo Sefolosha,Did not Attend College in U.S.,N/A,N/A,N/A
2006,14,UTA,Ronnie Brewer,Arkansas,Fayetteville,AR,Southeastern Conference
2006,15,NOK,Cedric Simmons,NC State,Raleigh,NC,Atlantic Coast Conference
2007,1,POR,Greg Oden,Ohio State,Columbus,OH,Big Ten Conference
2007,3,ATL,Al Horford,Florida,Gainesville,FL,Southeastern Conference
2007,4,MEM,Mike Conley,Ohio State,Columbus,OH,Big Ten Conference
2007,5,BOS,Jeff Green,Georgetown,Washington,DC,Patriot League
2007,6,MIL,Yi Jianlian,Did not Attend College in U.S.,N/A,N/A,N/A
2007,7,MIN,Corey Brewer,Florida,Gainesville,FL,Southeastern Conference
2007,8,CHA,Brandan Wright,UNC,Chapel Hill,NC,Atlantic Coast Conference
2007,9,CHI,Joakim Noah,Florida,Gainesville,FL,Southeastern Conference
2007,10,SAC,Spencer Hawes,Washington,Seattle,WA,Pacific-12 Conference
2007,11,ATL,Acie Law,Texas A&M,College Station,TX,Southeastern Conference
2007,12,PHI,Thaddeus Young,Georgia Tech,Atlanta,GA,Atlantic Coast Conference
2007,13,NOK,Julian Wright,Kansas,Lawrence,KS,Big 12 Conference
2007,14,LAC,Al Thornton,Florida State,Tallahassee,FL,Atlantic Coast Conference
2007,15,DET,Rodney Stuckey,Eastern Washington,Cheney,WA,Big Sky Conference
2007,2,SEA,Kevin Durant,Texas,Austin,TX,Big 12 Conference
2008,1,CHI,Derrick Rose,Memphis,Memphis,TN,American Athletic Conference
2008,2,MIA,Michael Beasley,Kansas State,Manhattan,KS,Big 12 Conference
2008,4,SEA,Russell Westbrook,UCLA,Los Angeles,CA,Pacific-12 Conference
2008,5,MEM,Kevin Love,UCLA,Los Angeles,CA,Pacific-12 Conference
2008,6,NYK,Danilo Gallinari,Did not Attend College in U.S.,N/A,N/A,N/A
2008,7,LAC,Eric Gordon,Indiana,Bloomington,IN,Big Ten Conference
2008,8,MIL,Joe Alexander,West Virginia,Morgantown,WV,Big 12 Conference
2008,10,NJN,Brook Lopez,Stanford,Stanford,CA,Pacific-12 Conference
2008,11,IND,Jerryd Bayless,Arizona,Tucson,AZ,Pacific-12 Conference
2008,12,SAC,Jason Thompson,Rider,Lawrenceville,NJ,Metro Atlantic Athletic Conference
2008,13,POR,Brandon Rush,Kansas,Lawrence,KS,Big 12 Conference
2008,14,GSW,Anthony Randolph,Louisiana State,Baton Rouge,LA,Southeastern Conference
2008,15,PHO,Robin Lopez,Stanford,Stanford,CA,Pacific-12 Conference
2008,3,MIN,O.J. Mayo,USC,Los Angeles,CA,Pacific-12 Conference
2008,9,CHA,D.J. Augustin,Texas,Austin,TX,Big 12 Conference
2009,1,LAC,Blake Griffin,Oklahoma,Norman,OK,Big 12 Conference
2009,3,OKC,James Harden,Arizona State,Tempe,AZ,Pacific-12 Conference
2009,4,SAC,Tyreke Evans,Memphis,Memphis,TN,American Athletic Conference
2009,5,MIN,Ricky Rubio,Did not Attend College in U.S.,N/A,N/A,N/A
2009,6,MIN,Jonny Flynn,Syracuse,Syracuse,NY,American Athletic Conference
2009,7,GSW,Stephen Curry,Davidson,Davidson,NC,Atlantic 10 Conference
2009,8,NYK,Jordan Hill,Arizona,Tucson,AZ,Pacific-12 Conference
2009,10,MIL,Brandon Jennings,Did not Attend College in U.S.,N/A,N/A,N/A
2009,11,NJN,Terrence Williams,Louisville,Louisville,KY,Atlantic Coast Conference
2009,12,CHA,Gerald Henderson,Duke,Durham,NC,Atlantic Coast Conference
2009,13,IND,Tyler Hansbrough,UNC,Chapel Hill,NC,Atlantic Coast Conference
2009,14,PHO,Earl Clark,Louisville,Louisville,KY,Atlantic Coast Conference
2009,15,DET,Austin Daye,Gonzaga,Spokane,WA,West Coast Conference
2009,2,MEM,Hasheem Thabeet,UCONN,Mansfield,CT,Big East Conference
2009,9,TOR,DeMar DeRozan,USC,Los Angeles,CA,Pacific-12 Conference
2010,1,WAS,John Wall,Kentucky,Lexington,KY,Southeastern Conference
2010,2,PHI,Evan Turner,Ohio State,Columbus,OH,Big Ten Conference
2010,3,NJN,Derrick Favors,Georgia Tech,Atlanta,GA,Atlantic Coast Conference
2010,4,MIN,Wesley Johnson,Syracuse,Syracuse,NY,American Athletic Conference
2010,5,SAC,DeMarcus Cousins,Kentucky,Lexington,KY,Southeastern Conference
2010,6,GSW,Ekpe Udoh,Baylor,Waco,TX,Big 12 Conference
2010,7,DET,Greg Monroe,Georgetown,Washington,DC,Patriot League
2010,8,LAC,Al-Farouq Aminu,Wake Forest,Salem,NC,Atlantic Coast Conference
2010,9,UTA,Gordon Hayward,Butler,Indianapolis,IN,Big East Conference
